name,description,type,address,google_maps_url,area,sub_area,lat,lng,website,instagram,phone,email,openingHours
Yemisi Shyllon Museum of Art,Expansive education-centred museum at Pan-Atlantic University focused on African materiality and cultural heritage. One of Nigeria's largest private art collections.,Museums,"Pan-Atlantic University, KM 52 Lekki Expressway, Ibeju-Lekki, Lagos",https://www.google.com/maps/search/?api=1&query=Yemisi%20Shyllon%20Museum%20of%20Art%2C%20Pan-Atlantic%20University%2C%20KM%2052%20Lekki%20Expressway%2C%20Ibeju-Lekki%2C%20Lagos,ISLAND,Lekki,6.4688629,3.704373,https://pau.edu.ng,@shyllonmuseum,2349136012439,ysma@pau.edu.ng,"{""mon"":""10am-5pm"",""tue"":""10am-5pm"",""wed"":""10am-5pm"",""thu"":""10am-5pm"",""fri"":""10am-5pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Badagry Heritage Museum,"Museum in Badagry documenting the history of the transatlantic slave trade, colonial and pre-colonial heritage of the town; offers guided tours.",Museums,"Badagry, Lagos",https://www.google.com/maps/search/?api=1&query=Badagry%20Heritage%20Museum%2C%20Badagry%2C%20Lagos,MAINLAND,Mainland,6.4121594,2.8894781,https://badagry.museumcall.com,,+2349022484140,,Mon-Sat 9am-5pm; Sun 12pm-5pm
Centre for Contemporary Art (CCA),"Independent non-profit visual art organization founded in 2007 by Bisi Silva. Specialises in experimental media, photography, film and performance art. Reopened 2025 after major renovation.",Art Hubs/Institutions,"9 McEwen Street, Sabo, Yaba, Lagos",https://www.google.com/maps/search/?api=1&query=Centre%20for%20Contemporary%20Art%20%28CCA%29%2C%209%20McEwen%20Street%2C%20Sabo%2C%20Yaba%2C%20Lagos,MAINLAND,Mainland,6.5033964,3.3784377,https://ccalagos.org,@ccalagos,2348036596346,info@ccalagos.org,"{""mon"":""closed"",""tue"":""closed"",""wed"":""12pm-6pm"",""thu"":""closed"",""fri"":""12pm-6pm"",""sat"":""12pm-6pm"",""sun"":""closed""}"
Henrimoweta African Art Center,Gallery dedicated to African art by Henri Moweta with locations in Anthony Village and Victoria Island.,Art Galleries,"7 Adebayo Mokuolu Street, Opposite Hotel Newcastle, Anthony Village, Lagos",https://www.google.com/maps/search/?api=1&query=Henrimoweta%20African%20Art%20Center%2C%207%20Adebayo%20Mokuolu%20Street%2C%20Opposite%20Hotel%20Newcastle%2C%20Anthony%20Village%2C%20Lagos,MAINLAND,Mainland,6.5580132,3.3708755,https://www.facebook.com/henrimowetaart/,,2347033974949,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Jelosimi Art Center,Art learning centre in Oshodi offering permanent displays and learning sessions for visual arts.,Art Hubs/Institutions,"13 Arowojobe Street, Oshodi, Lagos",https://www.google.com/maps/search/?api=1&query=Jelosimi%20Art%20Center%2C%2013%20Arowojobe%20Street%2C%20Oshodi%2C%20Lagos,MAINLAND,Mainland,6.5631445,3.342016,,@jelosimiartcenter,2348135513125,info@jelosimiartcenter.com,"{""mon"":""9am-5pm"",""tue"":""9am-5pm"",""wed"":""9am-5pm"",""thu"":""9am-5pm"",""fri"":""9am-5pm"",""sat"":""9am-3pm"",""sun"":""closed""}"
KAP Hub,"KAP Hub (Kunle Afolayan Production Hub) is a creative/cultural complex in Ikeja founded by filmmaker Kunle Afolayan, housing KAP Cinemas, KAP Film & Television Academy, KAP Sound Stage Studio and Afefeyeye Restaurant & Bar.",Art Hubs/Institutions,"41 Ogundana Street, off Allen Avenue, Ikeja, Lagos",https://www.google.com/maps/search/?api=1&query=KAP%20Hub%2C%2041%20Ogundana%20Street%2C%20off%20Allen%20Avenue%2C%20Ikeja%2C%20Lagos,MAINLAND,Mainland,6.603472,3.3561938,https://kaphubnews.com,@kap_hub,+2349062864253,info@kap-hub.com,
MadhousebyTikera,"MAD House by Tikera Africa: creative incubator/accelerator/innovation lab built from repurposed shipping containers on the UNILAG waterfront, launched Dec 2023 by photographer Bayo Omoboriowo; photo/production studios, sound facilities, theatre, casting studio.",Art Hubs/Institutions,"UNILAG Lagoon Front, University of Lagos, Akoka, Yaba, Lagos",https://www.google.com/maps/search/?api=1&query=MadhousebyTikera%2C%20UNILAG%20Lagoon%20Front%2C%20University%20of%20Lagos%2C%20Akoka%2C%20Yaba%2C%20Lagos,MAINLAND,Mainland,6.515759,3.3898447,https://tikeraafrica.org/mad-house/,@madhousebytikera,,,
Mobee Museum,"Privately-owned museum run by descendants of the Mobee royal family of Badagry, displaying original slave-trade relics including manacles and a branding iron once belonging to slave merchant Sunbu Mobee, whose grave is on-site.",Museums,"Mobee Street (Boekoh Quarters), off General Hospital Road, Marina, Badagry, Lagos",https://www.google.com/maps/search/?api=1&query=Mobee%20Museum%2C%20Mobee%20Street%20%28Boekoh%20Quarters%29%2C%20off%20General%20Hospital%20Road%2C%20Marina%2C%20Badagry%2C%20Lagos,MAINLAND,Mainland,6.553386,3.3863897,https://mobeeslaverelicsmuseum.net,@mobeeslaverelics,+2348138221342,ahfemo2015@gmail.com,8am-6pm daily
Negro Art Gallery,"Small gallery/shop in a Surulere shopping complex selling paintings, drawings, sculptures and crafts by Nigerian/African artists; owned by Funmi Ogbogu.",Art Galleries,"Suite 10, LSDPC Shopping Complex, Bode Thomas, Surulere, Lagos",https://www.google.com/maps/search/?api=1&query=Negro%20Art%20Gallery%2C%20Suite%2010%2C%20LSDPC%20Shopping%20Complex%2C%20Bode%20Thomas%2C%20Surulere%2C%20Lagos,MAINLAND,Mainland,6.4889766,3.363251,https://negroart.com.ng,@negroart_ng,+2348033018769,,Mon-Fri 10am-6pm; Sat 10am-4pm
Oshodi Arts Gallery,"Founded Dec 2020 by Dr. Oshodi Seyi Paul; a large Ikorodu gallery/cultural hub with thousands of artworks and studios for ceramics, textiles/fashion, painting, sculpture, photography, plus workshops and school programs.",Art Galleries,"Plot 115, opposite Nasfat Akasolori, Ikorodu, Lagos",https://www.google.com/maps/search/?api=1&query=Oshodi%20Arts%20Gallery%2C%20Plot%20115%2C%20opposite%20Nasfat%20Akasolori%2C%20Ikorodu%2C%20Lagos,MAINLAND,Mainland,6.6306607,3.520026,https://oshodiartgallery.com,@oshodiartsgallery,+2348054847010,info@oshodiartgallery.com,
Ovuomaroro Studio and Gallery,Studio and permanent gallery for celebrated Nigerian artist Bruce Onobrakpeya's works. A significant space for printmaking and cultural heritage.,Art Hubs/Institutions,"41 Oloje Street, Papa-Ajao, Mushin, Lagos",https://www.google.com/maps/search/?api=1&query=Ovuomaroro%20Studio%20and%20Gallery%2C%2041%20Oloje%20Street%2C%20Papa-Ajao%2C%20Mushin%2C%20Lagos,MAINLAND,Mainland,6.5383827,3.3411781,,@bruce_onobrakpeya,2348060795466,,"{""mon"":""10am-5pm"",""tue"":""10am-5pm"",""wed"":""10am-5pm"",""thu"":""10am-5pm"",""fri"":""10am-5pm"",""sat"":""10am-5pm"",""sun"":""closed""}"
Tim and Carol Gallery of Art,"Nigerian art institution in Ikeja GRA unveiled in 2022 by Wale Fasuyi, showcasing his father Pa Timothy Banjo Fasuyi's collection alongside 100+ Nigerian artists; five-room duplex with cafe, library, craft shop and pool.",Art Galleries,"7a Oba Dosumu Street, Ikeja GRA, Lagos",https://www.google.com/maps/search/?api=1&query=Tim%20and%20Carol%20Gallery%20of%20Art%2C%207a%20Oba%20Dosumu%20Street%2C%20Ikeja%20GRA%2C%20Lagos,MAINLAND,Mainland,6.5807618,3.354537,http://timandcarolgalleryofart.com,@timandcarol_galleryofart,+2348073137222,timandcarolgalleryofart@gmail.com,9am-5pm
Universal Studios of Art,"An artists' hub and studio complex housed within the National Theatre (now Wole Soyinka Centre for Culture and the Creative Arts) in Iganmu; founded early 1980s/formalized 1996 under sculptor Bisi Fakeye, hosts resident sculptors and painters and trains student-trainees yearly.",Art Hubs/Institutions,"National Theatre, Iganmu, Lagos 101245",https://www.google.com/maps/search/?api=1&query=Universal%20Studios%20of%20Art%2C%20National%20Theatre%2C%20Iganmu%2C%20Lagos%20101245,MAINLAND,Mainland,6.4761557,3.3669717,,@universalstudiosofart82,+2348158326664,,
Yusuf Grillo Museum,"Converted former home/studio of the late Nigerian modernist Prof. Yusuf Adebayo Cameron Grillo (1934-2021), managed by GRILLOArt Limited.",Museums,"28 Ogunlowo Street, off Obafemi Awolowo Way, Ikeja, Lagos",https://www.google.com/maps/search/?api=1&query=Yusuf%20Grillo%20Museum%2C%2028%20Ogunlowo%20Street%2C%20off%20Obafemi%20Awolowo%20Way%2C%20Ikeja%2C%20Lagos,MAINLAND,Mainland,6.6060338,3.3443542,https://grilloart.com,@yusufgrillo.museum,,contact@grilloart.com,By appointment only
16by16,"Family-owned ""dual concept art gallery and boutique residence"" in Victoria Island that curates exhibitions and helps organize artist residencies and events alongside its private gathering/hotel space.",Art Galleries,"Flat 16, 16 Kofo Abayomi Street, Victoria Island, Lagos 101241",https://www.google.com/maps/search/?api=1&query=16by16%2C%20Flat%2016%2C%2016%20Kofo%20Abayomi%20Street%2C%20Victoria%20Island%2C%20Lagos%20101241,ISLAND,Victoria Island,6.435358,3.4140322,https://16by16.co,@16by16,+2348149045504,reserve@16by16.co,By appointment only; closed Mondays
Affinity Gallery,Contemporary art gallery in Lagos showcasing works by emerging and established Nigerian artists.,Art Galleries,"Unit 2, 1-7 Muri Okunola Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Affinity%20Gallery%2C%20Unit%202%2C%201-7%20Muri%20Okunola%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4333131,3.4398115,,@galleryaffinity,,,
African Artists Foundation,Non-profit foundation in Victoria Island dedicated to promoting and supporting African artists through programmes and exhibitions.,Art Hubs/Institutions,"3b Isiola Oyekan Close, Off Kofo Abayomi Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=African%20Artists%20Foundation%2C%203b%20Isiola%20Oyekan%20Close%2C%20Off%20Kofo%20Abayomi%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4353559,3.4168486,https://africanartists.org,@aaf_lagos,2348097713079,,"{""mon"":""9am-5pm"",""tue"":""9am-5pm"",""wed"":""9am-5pm"",""thu"":""9am-5pm"",""fri"":""9am-5pm"",""sat"":""closed"",""sun"":""closed""}"
Alexis Gallery,"Established contemporary art gallery showcasing paintings, drawings, mixed media and sculptures by Nigerian and international artists.",Art Galleries,"282 Akin Olugbade Street, Off Idowu Martins Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Alexis%20Gallery%2C%20282%20Akin%20Olugbade%20Street%2C%20Off%20Idowu%20Martins%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4314058,3.4203161,https://alexisgalleries.com,@alexisgalleries,2348118777787,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}"
Alliance Francaise,"French cultural institute hosting contemporary art exhibitions, film screenings, language courses and cultural events in Lagos.",Art Hubs/Institutions,"Mike Adenuga Centre, 9 Osborne Road, Ikoyi, Lagos",https://www.google.com/maps/search/?api=1&query=Alliance%20Francaise%2C%20Mike%20Adenuga%20Centre%2C%209%20Osborne%20Road%2C%20Ikoyi%2C%20Lagos,ISLAND,Ikoyi,6.460132499999999,3.4324228,https://www.institutfrancais-nigeria.com,@af.lagos,23412621004,,"{""mon"":""8am-7pm"",""tue"":""8am-7pm"",""wed"":""8am-7pm"",""thu"":""8am-7pm"",""fri"":""8am-7pm"",""sat"":""9am-5pm"",""sun"":""closed""}"
Art Twenty One,Sophisticated contemporary art space inside Eko Hotel & Suites. Showcases African and diaspora contemporary art and design. Founded 2014.,Art Galleries,"Eko Hotel & Suites, 1415 Adetokunbo Ademola Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Art%20Twenty%20One%2C%20Eko%20Hotel%20%26%20Suites%2C%201415%20Adetokunbo%20Ademola%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.426604,3.4301281,https://arttwentyone.ng,@arttwentyone,234114606190,info@art21lagos.com,"{""mon"":""by appointment"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}"
Bloom Art,"Intimate art salon and studio space by Ugoma Adegoke. Works by appointment only, focused on contemporary Nigerian art.",Art Galleries,"Flat 11 Century Flats, 275 Kofo Abayomi Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Bloom%20Art%2C%20Flat%2011%20Century%20Flats%2C%20275%20Kofo%20Abayomi%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.431794,3.4225401,https://www.bloomartlagos.com,@bloomartlagos,2347034030683,ugoma@bloomartlagos.com,"{""mon"":""by appointment"",""tue"":""by appointment"",""wed"":""by appointment"",""thu"":""by appointment"",""fri"":""by appointment"",""sat"":""by appointment"",""sun"":""closed""}"
DIDI Museum,Museum in Victoria Island hosting temporary exhibitions of Nigerian and African art and cultural artefacts.,Art Galleries,"175 Akin Adesola Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=DIDI%20Museum%2C%20175%20Akin%20Adesola%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4323098,3.4241933,,@didimuseum,2348027858094,,"{""mon"":""10am-5pm"",""tue"":""10am-5pm"",""wed"":""10am-5pm"",""thu"":""10am-5pm"",""fri"":""10am-5pm"",""sat"":""10am-4pm"",""sun"":""closed""}"
Fresco Gallery,"Contemporary art gallery founded in 2022 by Ima Ekpo, West Africa's first gallery dedicated to prints/editions by emerging and established African artists.",Nomadic Spaces,,,,,,,https://thefrescogallery.com,@galleryfresco,,contact@thefrescogallery.com,
Guest Artists Space Foundation (GAS),"Non-profit artist residency founded 2019 by Yinka Shonibare CBE RA, hosted in an award-winning building; runs residencies for international artists, researchers and curators, with a companion farm site in Ijebu-Ode, Ogun State.",Art Hubs/Institutions,"Oniru, Victoria Island, Lagos (exact plot/street not published)",https://www.google.com/maps/search/?api=1&query=Guest%20Artists%20Space%20Foundation%20%28GAS%29%2C%20Oniru%2C%20Victoria%20Island%2C%20Lagos%20%28exact%20plot/street%20not%20published%29,ISLAND,Victoria Island,6.4467879,3.4340729,https://guestartistsspace.com,@gasfoundation,,info@guestartistsspace.com,
Hourglass Gallery,Established gallery founded in 1996 by Dozie Igweze hosting temporary exhibitions and permanent displays of contemporary Nigerian art.,Art Galleries,"979 Saka Jojo Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Hourglass%20Gallery%2C%20979%20Saka%20Jojo%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4273049,3.4128116,https://hourglassgallery.com,@hourglass_lagos,2348033016103,,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}"
MÌLÍKÍ,"A private members' social and cultural club/retreat for Lagos creatives, artists and intellectuals, hosting art exhibitions, music nights and idea-exchange events.",Art Hubs/Institutions,"7B Etim Inyang Crescent, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=M%C3%8CL%C3%8DK%C3%8D%2C%207B%20Etim%20Inyang%20Crescent%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4335117,3.4387812,,@miliki.ng,,,
Nomadic Art Gallery,"Contemporary art gallery on Victoria Island owned by Charlotte Obidairo, focused on diasporic/pan-African contemporary art and expanding artists' visibility.",Art Galleries,"22 Adetokunbo Ademola Street, Victoria Island, Lagos 106104",https://www.google.com/maps/search/?api=1&query=Nomadic%20Art%20Gallery%2C%2022%20Adetokunbo%20Ademola%20Street%2C%20Victoria%20Island%2C%20Lagos%20106104,ISLAND,Victoria Island,6.436016,3.4303937,https://nomadic-art.com,@nomadic.ag,,,Mon-Sat 10am-6pm
O'DA,"O'DA is a contemporary art gallery in Victoria Island established in 2020 by Nigerian entrepreneur and art patron Obida Obioha, specializing in contemporary African art and design.",Art Galleries,"10 Sir Samuel Manuwa St, Victoria Island, Lagos 101233",https://www.google.com/maps/search/?api=1&query=O%27DA%2C%2010%20Sir%20Samuel%20Manuwa%20St%2C%20Victoria%20Island%2C%20Lagos%20101233,ISLAND,Victoria Island,6.4364976,3.4360517,https://www.odaartgallery.com,@o.da_art,+2349061816077,info@odaartgallery.com,Tue-Sat 11am-6pm
Red Door Gallery,Contemporary art gallery in Victoria Island described as purveyors of unpredictable art. Hosts temporary exhibitions and permanent displays.,Art Galleries,"51b Bishop Oluwole Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Red%20Door%20Gallery%2C%2051b%20Bishop%20Oluwole%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.42406,3.4210696,https://reddoorgallery.com,@reddoorng,2349087333667,info@reddoorgallery.com,"{""mon"":""10am-6pm"",""tue"":""10am-6pm"",""wed"":""10am-6pm"",""thu"":""10am-6pm"",""fri"":""10am-6pm"",""sat"":""10am-6pm"",""sun"":""closed""}"
Society for Art Collection (SARTCOL),"Registered non-profit society co-founded by Prof. Fabian Ajogwu (SAN) and inaugurated in 2019, providing a platform for art collectors, artists and enthusiasts to network and be educated on provenance, collecting practice, and artists' rights.",Art Hubs/Institutions,"8 Ogunyemi Road, Palace Way, Oniru, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Society%20for%20Art%20Collection%20%28SARTCOL%29%2C%208%20Ogunyemi%20Road%2C%20Palace%20Way%2C%20Oniru%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4288187,3.4505051,https://sartcol.org,@societyforartcollection,+2348158390722,enquiries@sartcol.org,
TCA Gallery,"The Children's Art Gallery (TCAG) — a social enterprise and the first gallery in the world exhibiting solely art made by children (under 18); founded in Lagos, now also operating in Ghana and Zimbabwe. Instagram: @tcaglagos.",Art Galleries,"Victoria Island, Lagos (exact street address not confirmed)",https://www.google.com/maps/search/?api=1&query=TCA%20Gallery%2C%20Victoria%20Island%2C%20Lagos%20%28exact%20street%20address%20not%20confirmed%29,ISLAND,Victoria Island,6.4384748,3.4336101,https://www.tcagallery.com,@tca_gallery,+2348104193264,info@tcagallery.com,
Terra Kulture,"Premier Nigerian cultural centre and theatre arts hub founded by Bolanle Austen-Peters in 2003. Houses gallery, restaurant, bookstore, language school and theatre.",Art Hubs/Institutions,"Plot 1376 Tiamiyu Savage Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Terra%20Kulture%2C%20Plot%201376%20Tiamiyu%20Savage%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4251323,3.4268301,https://terrakulture.com,@terrakulture,23412700588,info@terrakulture.com,"{""mon"":""9am-10pm"",""tue"":""9am-10pm"",""wed"":""9am-10pm"",""thu"":""9am-10pm"",""fri"":""9am-10pm"",""sat"":""9am-10pm"",""sun"":""12pm-10pm""}"
The Art Hotel,"Five-star boutique hotel (opened July 2022) in Oniru, Victoria Island, that runs an in-house public art gallery of Nigerian art, curated and rotated monthly.",Art Galleries,"Plot 13A, Block III, Yesufu Abiodun Oniru Way, Oniru, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=The%20Art%20Hotel%2C%20Plot%2013A%2C%20Block%20III%2C%20Yesufu%20Abiodun%20Oniru%20Way%2C%20Oniru%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4310486,3.4433965,https://arthotelng.com,@art.hotelng,+2349166105381,info@arthotelng.com,Mon-Sun 8am-10pm
Tiwani Contemporary,International contemporary gallery with 2000 sq ft white cube space with 7m+ walls. Founded 2011 by Maria Varnava. Champions African and diaspora artists globally with spaces also in London.,Art Galleries,"13 Elsie Femi Pearse Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Tiwani%20Contemporary%2C%2013%20Elsie%20Femi%20Pearse%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4337233,3.4112462,https://tiwani.co.uk,@tiwanicontemporary,2348130519602,info@tiwani.co.uk,"{""mon"":""closed"",""tue"":""12pm-6pm"",""wed"":""12pm-6pm"",""thu"":""12pm-6pm"",""fri"":""12pm-6pm"",""sat"":""12pm-6pm"",""sun"":""closed""}"
Windsor Gallery,"Part of a multi-city gallery group (also in Abidjan and Abuja), opened in Victoria Island in September 2023 with its inaugural exhibition ""State of Africa,"" showcasing contemporary and modern African art across painting, sculpture and photography.",Art Galleries,"4c Goriola Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Windsor%20Gallery%2C%204c%20Goriola%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.431705,3.4133055,https://www.windsor-gallery.com,@windsor.gallery_lagos,+2349139015506,lagos@windsor-gallery.com,
Yenwa Gallery,"Art gallery in Victoria Island founded in 2021 by Ugonna Ibe, opened as a physical space in April 2023; exhibits contemporary African painting and sculpture with a focus on photography and new media, includes a library/workspace for workshops.",Art Galleries,"6 Muri Okunola Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=Yenwa%20Gallery%2C%206%20Muri%20Okunola%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4332802,3.4399277,https://www.yenwagallery.com,@yenwagallery,,,
+234 Art Fair (Plus234 Art Fair),"A curated art fair in Lagos celebrating contemporary Nigerian/African art and creativity, spanning digital art, 2D/fine art, sculpture and photography. Annual, most recent (3rd) edition held March 2026 at Ecobank Pan African Center, Lagos.",Art Festivals,,,,,,,https://plus234art.com,@plus234art,,,
ART X Lagos,"West Africa's leading international art fair, showcasing contemporary art and culture from Africa and its diaspora, founded 2016 by Tokini Peterside-Schwebig; includes music, film and talks programming. Annual, next edition Nov 2026.",Art Festivals,,,,,,,https://www.artxlagos.com,@artxlagos,,,
Creath Innovations,"Lagos-based art-and-culture/Web3 platform blending blockchain with contemporary African art; runs a digital art marketplace, the “Emerging Expressions” undergraduate art fair, and physical showcases.",Nomadic Spaces,"Lagos, Nigeria",https://www.google.com/maps/search/?api=1&query=Creath%20Innovations%2C%20Lagos%2C%20Nigeria,,,6.4472507,3.4859156,https://www.creath.io,@creathlabs,,,
Lagos Biennial,"A not-for-profit contemporary art platform under the Akete Art Foundation, founded 2017; presents exhibitions, public programs, publications and residencies at historically/politically significant Lagos venues. Biennial; 2026 edition planned for Oct 2026.",Art Festivals,,,,,,,https://lagos-biennial.org,@lagos_biennial,,,
Lagos Street Art Festival,"Street art festival transforming Lagos neighborhoods into an open-air mural gallery, featuring Nigerian and international artists creating large-scale murals. Inaugural edition (""Legendary Lagos: City of Dreams"") held Dec 2025 — too early to confirm annual recurrence.",Art Festivals,,,,,,,https://lagosstreetartfestival.com,@lagosstreetartfestival,,,
LagosPhoto Festival,"The largest international photography festival in Nigeria, founded 2010 by Azu Nwagbogu of the African Artists' Foundation; month-long program of exhibitions, workshops, residencies and talks. Transitioning from annual to biennial starting with its 2025 edition.",Art Festivals,,,,,,,https://www.lagosphotofestival.com,@lagosphotofestival,,,
Miniature Art Fair Lagos,"Nigeria's largest exhibition of portable/small-format artworks, organized by Iwalewa Gallery of Art and Ogirikan; showcases 1,000+ miniature pieces by established and emerging artists. Annual, began 2018.",Art Festivals,,,,,,,https://miniatureartfairlagos.com,@miniartlagos,,,
Nuru gallery,"a minimalist contemporary art space co-founded by Khadijah Okoya, located inside Eleganza House on Lagos Island, Nigeria",Art Galleries,"Eleganza House, 15B Joseph Harden St, Lagos Island, Lagos 102273, Lagos, Nigeria",https://www.google.com/maps/search/?api=1&query=Nuru%20gallery,ISLAND,Lagos Island,6.4500901,3.3946113,https://nuru-gallery.com/,@nuru.gallery,,info@nuru-gallery.com,"{""mon"":""closed"",""tue"":""closed"",""wed"":""12pm-6pm"",""thu"":""12pm-6pm"",""fri"":""12pm-6pm"",""sat"":""1pm-6pm"",""sun"":""closed""}"
Obodo,Lagos-based non-profit (founded 2022) supporting queer Nigerian artists through grants and residencies. Operates as a fund/organization rather than a walk-in venue — no physical office or exhibition space.,Nomadic Spaces,,,,,,,https://www.obodonigeria.org,@obodo_nigeria,,info@obodonigeria.org,
Open House Lagos,"The first and biggest architecture festival in Lagos; a free weekend event giving public access to notable buildings, part of the global Open House Worldwide network. Note: primarily an architecture festival rather than a visual-art fair — confirm fit before publishing.",Art Festivals,,,,,,,https://www.openhouseworldwide.org/lagos,@openhouselagos,,,
Untainted Arts,,Nomadic Spaces,,,,,,,https://substack.com/@untaintedarts,@untainted_arts,,,
Amah Studio,"A multifunctional creative space and members' club set in the Eleganza Building on Lagos Island, combining coworking, a professional photo studio, a bar/kitchen, and rotating exhibitions, DJ residencies, and events such as the weekly 'Traffic Thursday'.",Art Hubs/Institutions,"Eleganza Building, Joseph Harden St, Lagos Island, Lagos",https://www.google.com/maps/search/?api=1&query=Amah%20Studio%2C%20Eleganza%20Building%2C%20Joseph%20Harden%20St%2C%20Lagos%20Island%2C%20Lagos,ISLAND,Lagos Island,6.450133,3.3946078,https://www.amah.studio/,@amahstudios,+2348089326337,info@amah.studio,
Nauhaus,"A cultural platform at the intersection of art, fashion, design, and nightlife in Victoria Island, presenting exhibitions, performances, screenings, and late-night programming showcasing contemporary culture from Africa and beyond.",Art Hubs/Institutions,"6-8 Ahmadu Bello Way, Victoria Island, Lagos 101241",https://www.google.com/maps/search/?api=1&query=Nauhaus%2C%206-8%20Ahmadu%20Bello%20Way%2C%20Victoria%20Island%2C%20Lagos%20101241,ISLAND,Victoria Island,6.429036,3.4092861,https://thenahous.com/,@thenahous,,,Mon-Sun 5pm-12am
Adegbola Gallery,"A contemporary art gallery championing Nigerian and African artists, presenting emerging and established names through exhibitions, art fairs, and special projects.",Art Galleries,"1619 Danmole St, Victoria Island, Lagos 106104",https://www.google.com/maps/search/?api=1&query=Adegbola%20Gallery%2C%201619%20Danmole%20St%2C%20Victoria%20Island%2C%20Lagos%20106104,ISLAND,Victoria Island,6.4281102,3.4134828,https://adegbola.com/,@adegbola.art,+2348143000900,hello@adegbola.com,
Art Pantheon,A contemporary art gallery in Lagos presenting rotating exhibitions of visual art and hosting cultural events and programming.,Art Galleries,"12D Bosun Adekoya, Oniru, Lagos",https://www.google.com/maps/search/?api=1&query=Art%20Pantheon%2C%2012D%20Bosun%20Adekoya%2C%20Oniru%2C%20Lagos,ISLAND,Lekki,6.4265833,3.4585077,https://theartpantheon-ng.com/,,+2348160676523,inquiries@theartpantheon-ng.com,Tue-Sat 10am-5pm; Sun 12pm-6pm; Mon closed (inferred)
Alara,"West Africa's first fashion, luxury and lifestyle concept store, in an Adjaye Associates-designed building, featuring curated international and pan-African designers alongside NOK by Alára, a contemporary pan-African restaurant.",Art Hubs/Institutions,"12a Akin Olugbade St, Victoria Island, Lagos 106104",https://www.google.com/maps/search/?api=1&query=Alara%2C%2012a%20Akin%20Olugbade%20St%2C%20Victoria%20Island%2C%20Lagos%20106104,ISLAND,Victoria Island,6.4305505,3.421366,https://alaralagos.com/,@alaralagos,+2349096852076,store@alaralagos.com,
FF Projects,"A nomadic curatorial platform founded by Faridah Folawiyo supporting contemporary art from Africa and its diaspora through exhibitions, programming, and publishing.",Nomadic Spaces,,,,,,,https://www.ff-projects.com/,@ff_projects_,,hello@ff-projects.com,
